,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
482,22,AT&T Byron Nelson,2015-05-28,2015-05-31,True,False,TPC Four Seasons Resort,"Irving, TX",70.0,7166.0,7100000.0,,False,True,,,,,,,,Full,AT&T Byron Nelson,AT&T Byron Nelson,TPC Four Seasons Resort,"Irving, TX"
483,23,Crowne Plaza Invitational at  Colonial,2015-05-21,2015-05-24,True,False,Colonial CC,"Ft. Worth, TX",70.0,7204.0,6500000.0,,False,True,,,,,,,,Full,Colonial National Invitation,Crowne Plaza Invitational at  Colonial,Colonial Country Club,"Fort Worth, TX"
484,43,Wells Fargo Championship,2015-05-14,2015-05-17,True,False,Quail Hollow Club,"Charlotte, NC",72.0,7562.0,7100000.0,,False,True,,,,,,,,Full,Wells Fargo Championship,Wells Fargo Championship,Quail Hollow Club,"Charlotte, NC"
485,17,THE PLAYERS Championship,2015-05-07,2015-05-10,True,False,TPC Sawgrass,"Ponte Vedra Beach, FL",70.0,6847.0,10000000.0,,False,True,,,,,,,,Full,THE PLAYERS Championship,THE PLAYERS Championship,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL"
486,16,Zurich Classic of New Orleans,2015-04-23,2015-04-26,True,False,TPC Louisiana,"Avondale, LA",72.0,7425.0,6900000.0,,False,True,,,,,,,,Full,Zurich Classic of New Orleans,Zurich Classic of New Orleans,TPC Louisiana,"Avondale, LA"
487,19,RBC Heritage,2015-04-16,2015-04-19,True,False,Harbour Town GL,"Hilton Head, SC",71.0,7101.0,5900000.0,,False,True,,,,,,,,Full,RBC Heritage,RBC Heritage,Harbour Town Golf Links,"Hilton Head Island, SC"
488,18,Masters Tournament,2015-04-09,2015-04-12,True,False,Augusta National GC,"Augusta, GA",72.0,7435.0,10000000.0,,False,True,,,,,,,,Full,The Masters Tournament,Masters Tournament,Augusta National Golf Club,"Augusta, GA"
489,21,Shell Houston Open,2015-04-02,2015-04-05,True,False,GC of Houston,"Humble, TX",72.0,7441.0,6600000.0,,False,True,,,,,,,,Full,Houston Open,Shell Houston Open,Golf Club of Houston,"Houston, TX"
490,37,Valero Texas Open,2015-03-26,2015-03-29,True,False,JW Marriott TPC San Antonio,"San Antonio, TX",72.0,6923.0,6200000.0,,False,True,,,,,,,,Full,Valero Texas Open,Valero Texas Open,TPC San Antonio (Oaks Course),"San Antonio, TX"
491,15,Arnold Palmer Invitational presented by MasterCard,2015-03-19,2015-03-22,True,False,Bay Hill Club & Lodge,"Orlando, FL",72.0,7419.0,6300000.0,,False,True,,,,,,,,Full,Arnold Palmer Invitational,Arnold Palmer Invitational presented by MasterCard,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL"
492,39,Valspar Championship,2015-03-12,2015-03-15,True,False,Innisbrook Resort (Copperhead),"Palm Harbor, FL",71.0,7340.0,5900000.0,,False,True,,,,,,,,Full,Valspar Championship,Valspar Championship,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL"
493,48,Puerto Rico Open,2015-03-05,2015-03-08,True,False,Coco Beach Golf & CC,Rio Grande,72.0,7528.0,3000000.0,,False,True,,,,,,,,Full,Puerto Rico Open,Puerto Rico Open,Grand Reserve Country Club,"Rio Grande, Puerto Rico"
494,41,World Golf Championships-Cadillac Championship,2015-03-05,2015-03-08,True,False,Trump National Doral,"Miami, FL",72.0,7528.0,9250000.0,,False,True,,,,,,,,Full,WGC-Cadillac Championship,World Golf Championships-Cadillac Championship,Trump National Doral Golf Course,"Doral, FL"
495,14,The Honda Classic,2015-02-26,2015-03-02,True,False,PGA National (Champion),"Palm Beach Gardens, FL",70.0,7140.0,6100000.0,,False,True,,,,,,,,Full,Cognizant Classic,The Honda Classic,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL"
496,13,Northern Trust Open,2015-02-19,2015-02-22,True,False,Riviera CC,"Pacific Palisades, CA",71.0,7349.0,6700000.0,,False,True,,,,,,,,Full,Northern Trust Open,Northern Trust Open,Riviera Country Club,"Pacific Palisades, CA"
497,10,AT&T Pebble Beach National Pro-Am,2015-02-12,2015-02-15,True,False,Spyglass Hill GC,"Pebble Beach, CA",72.0,6953.0,6800000.0,,False,True,,,,,,,,Full,AT&T Pebble Beach Pro-Am,AT&T Pebble Beach National Pro-Am,Spyglass Hill GC,"Pebble Beach, CA"
498,11,Farmers Insurance Open,2015-02-05,2015-02-08,True,False,Torrey Pines (North),"San Diego, CA",72.0,7052.0,6300000.0,,False,True,,,,,,,,Full,Farmers Insurance Open,Farmers Insurance Open,Torrey Pines (North Course),"La Jolla, CA"
499,9,Waste Management Phoenix Open,2015-01-29,2015-02-01,True,False,TPC Scottsdale,"Scottsdale, AZ",71.0,7266.0,6300000.0,,False,True,,,,,,,,Full,Waste Management Phoenix Open,Waste Management Phoenix Open,TPC Scottsdale (Stadium Course),"Scottsdale, AZ"
500,8,Humana Challenge in partnership with the Clinton Foundation,2015-01-22,2015-01-25,True,False,PGA West (Palmer),"La Quinta, CA",72.0,6950.0,5700000.0,,False,True,,,,,,,,Full,Desert Classic,Humana Challenge in partnership with the Clinton Foundation,La Quinta Country Club,"La Quinta, CA"
501,12,Sony Open in Hawaii,2015-01-15,2015-01-18,True,False,Waialae CC,"Honolulu, HI",70.0,7044.0,5600000.0,,False,True,,,,,,,,Full,Sony Open in Hawaii,Sony Open in Hawaii,Waialae Country Club,"Honolulu, HI"
502,7,Hyundai Tournament of Champions,2015-01-09,2015-01-12,True,False,Plantation Course at Kapalua,"Kapalua, Maui, HI",73.0,7452.0,5700000.0,,False,True,,,,,,,,Full,Tournament of Champions,Hyundai Tournament of Champions,Kapalua Resort (Plantation Course),"Kapalua, HI"
503,52,Hero World Challenge,2014-12-04,2014-12-07,True,False,Isleworth G&CC,,72.0,7267.0,3500000.0,,False,True,,,,,,,,Full,Hero World Challenge,Hero World Challenge,Isleworth G&CC,"Windermere, FL"
504,45,OHL Classic at Mayakoba,2014-11-13,2014-11-16,True,False,El Camaleon GC,"Riviera Maya, Mexico",71.0,6987.0,6100000.0,,False,True,,,,,,,,Full,World Wide Technology Championship,OHL Classic at Mayakoba,El Camaleón Golf Course at Mayakoba,"Quintana Roo, Mexico"
505,31,Sanderson Farms Championship,2014-11-06,2014-11-09,True,False,CC of Jackson,"Jackson, MS",72.0,7364.0,4000000.0,,False,True,,,,,,,,Full,Sanderson Farms Championship,Sanderson Farms Championship,Country Club of Jackson,"Jackson, MS"
506,42,World Golf Championships-HSBC Champions,2014-11-06,2014-11-09,True,False,Sheshan International GC,"Shanghai, China",72.0,7261.0,8500000.0,,False,True,,,,,,,,Full,WGC-HSBC Champions,World Golf Championships-HSBC Champions,Sheshan International GC,"Shanghai, China"
507,50,CIMB Classic,2014-10-30,2014-11-02,True,False,Kuala Lumpur G&CC,"Kuala Lumpur, Malaysia",72.0,6985.0,7000000.0,,False,True,,,,,,,,Full,CIMB Classic,CIMB Classic,TPC Kuala Lumpur,"Kuala Lumpur, Malaysia"
508,51,The McGladrey Classic,2014-10-23,2014-10-26,True,False,Sea Island Resort (Seaside),"Sea Island, GA",70.0,7005.0,5600000.0,,False,True,,,,,,,,Full,RSM Classic,The McGladrey Classic,Sea Island Resort (Seaside Course),"Saint Simons Island, GA"
509,36,Shriners Hospitals for Children Open,2014-10-16,2014-10-19,True,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,6200000.0,,False,True,,,,,,,,Full,Shriners Children's Open,Shriners Hospitals for Children Open,TPC Summerlin,"Las Vegas, NV"
510,46,Frys.com Open,2014-10-09,2014-10-12,True,False,Silverado CC (North),"Napa, CA",72.0,7203.0,6000000.0,,False,True,,,,,,,,Full,Frys.com Open,Frys.com Open,Silverado Resort and Spa (North Course),"Napa, CA"
